#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 05.01.2021 00:00 - 05.01.2021 23:59 *
87;ЛО, 53 км АД СПб-Кировск г. Кировск, на г. СПб;1403050;АСОД АФАП;;3064;0,1%
;;Направление не указано;3064;100,0%
88;ЛО, 54 км 300 м АД А-180 Нарва нп Черемыкино, на г. Нарва;1311106;АСОД АФАП;;1457;0,0%
;;Направление не указано;1457;100,0%
89;ЛО, 54 км 365 м КАД А-118, от Ропшинского ш. к Красносельскому ш., 2-я правая полоса;1312012;АСОД АФАП;;207;0,0%
;;Направление не указано;207;100,0%
90;ЛО, 54 км 365 м КАД А-118, от Ропшинского ш. к Красносельскому ш., крайняя левая полоса;1311099;АСОД АФАП;;1918;0,1%
;;Направление не указано;1918;100,0%
91;ЛО, 56 км 051 м КАД А-118, от Октябрьской наб. к пр. Обуховской обороны, крайняя левая полоса;1308039;АСОД АФАП;;221;0,0%
;;Направление не указано;221;100,0%
92;ЛО, 56 км 051 м КАД А-118, от Октябрьской наб. к пр. Обуховской обороны, крайняя правая полоса;1308037;АСОД АФАП;;411;0,0%
;;Направление не указано;411;100,0%
93;ЛО, 59 км АД СПб-Кировск г. Кировск, на г. СПб;1312040;АСОД АФАП;;7211;0,2%
;;Направление не указано;7211;100,0%
94;ЛО, 595 км 300 м АД М-10 Россия нп Бабино 2, на г. Москва, крайняя правая полоса;1310112;АСОД АФАП;;531;0,0%
;;Направление не указано;531;100,0%
95;ЛО, 595 км 300 м АД М-10 Россия нп Бабино 2, на г. СПб, крайняя левая полоса;1310115;АСОД АФАП;;19;0,0%
;;Направление не указано;19;100,0%
96;ЛО, 61 км 908 м АД А-180 Нарва нп Сельцо, на г. Нарва;1312029;АСОД АФАП;;3338;0,1%
;;Направление не указано;3338;100,0%
97;ЛО, 61 км 908 м АД А-180 Нарва нп Сельцо, на г. СПб;1312030;АСОД АФАП;;3621;0,1%
;;Направление не указано;3621;100,0%
98;ЛО, 667 км 080 м АД М-10 Россия, на г. Москва, 2-я правая полоса;1311119;АСОД АФАП;;4507;0,1%
;;Направление не указано;4507;100,0%
99;ЛО, 667 км 080 м АД М-10 Россия, на г. СПб, крайняя левая полоса;1311091;АСОД АФАП;;46;0,0%
;;Направление не указано;46;100,0%
100;ЛО, 667 км 110 м АД М-10 Россия, на г. Москва, крайняя левая полоса;1311092;АСОД АФАП;;450;0,0%
;;Направление не указано;450;100,0%
101;ЛО, 670 км 369 м АД М-10 Россия на г. Москва, 2-я правая полоса;1310109;АСОД АФАП;;147;0,0%
;;Направление не указано;147;100,0%
102;ЛО, 670 км 369 м АД М-10 Россия на г. Москва, крайняя правая полоса;1310108;АСОД АФАП;;23;0,0%
;;Направление не указано;23;100,0%
103;ЛО, 86 км 609 м КАД А-118, от Красносельского ш. к Ропшинскому ш., 2-я правая полоса;1311096;АСОД АФАП;;13;0,0%
;;Направление не указано;13;100,0%
104;ЛО, 86 км 609 м КАД А-118, от Красносельского ш. к Ропшинскому ш., крайняя правая полоса;1311095;АСОД АФАП;;1803;0,0%
;;Направление не указано;1803;100,0%
105;ЛО, 88 км 110 м КАД А-118, от Октябрьской наб. к Мурманскому ш., 2-я правая полоса;1312013;АСОД АФАП;;1404;0,0%
;;Направление не указано;1404;100,0%
106;ЛО, 88 км 110 м КАД А-118, от Октябрьской наб. к Мурманскому ш., крайняя правая полоса;1312014;АСОД АФАП;;65;0,0%
;;Направление не указано;65;100,0%
107;ЛО, 89 км. 023 м. КАД А-118, от Октябрьской наб. к Мурманскому шоссе;1306060;АСОД АФАП;;11089;0,3%
;;Направление не указано;11089;100,0%
108;ЛО, 9 км 300 м АД СПб-Матокса нп Кузьмоловский, на г. СПб;1312025;АСОД АФАП;;1139;0,0%
