#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 03.01.2021 00:00 - 03.01.2021 23:59 *
72;ЛО, 44 км 300 м КАД А-118, от Рябовского ш. к Колтушскому ш.,;1306059;АСОД АФАП;;20812;0,7%
;;Направление не указано;20812;100,0%
73;ЛО, 44 км АД Выборг-Светогорск нп Лесогорский, на г. Выборг;1403045;АСОД АФАП;;1720;0,1%
;;Направление не указано;1720;100,0%
74;ЛО, 44 км АД Выборг-Светогорск нп Лесогорский, на нп Светогорск;1403046;АСОД АФАП;;1660;0,1%
;;Направление не указано;1660;100,0%
75;ЛО, 45 км 680 м КАД А-118, от Гостилицкого ш. к Ропшинскому ш., крайняя левая полоса;1312019;АСОД АФАП;;806;0,0%
;;Направление не указано;806;100,0%
76;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. Мурманск, крайняя левая полоса;1311117;АСОД АФАП;;22;0,0%
;;Направление не указано;22;100,0%
77;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. СПб, крайняя левая полоса;1312017;АСОД АФАП;;4765;0,2%
;;Направление не указано;4765;100,0%
78;ЛО, 45 км АД Р-21 Кола нп Синявино, на г. СПб, крайняя правая полоса;1312018;АСОД АФАП;;5395;0,2%
;;Направление не указано;5395;100,0%
79;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб.,;1308055;АСОД АФАП;;4028;0,1%
;;Направление не указано;4028;100,0%
80;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., 3-я правая полоса;1308057;АСОД АФАП;;3321;0,1%
;;Направление не указано;3321;100,0%
81;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., крайняя левая полоса;1308054;АСОД АФАП;;7261;0,2%
;;Направление не указано;7261;100,0%
82;ЛО, 51 км 977 м КАД А-118, от Мурманского ш. к Октябрьской наб., крайняя правая полоса;1308056;АСОД АФАП;;5950;0,2%
;;Направление не указано;5950;100,0%
83;ЛО, 515 км АД А-114 Вологда-Тихвин-автомобильная дорога Р-21 Кола нп Колчаново, на г. Тихвин;1403035;АСОД АФАП;;2627;0,1%
;;Направление не указано;2627;100,0%
84;ЛО, 53 км АД СПб-Кировск г. Кировск, на г. Кировск;1403049;АСОД АФАП;;1975;0,1%
;;Направление не указано;1975;100,0%
85;ЛО, 53 км АД СПб-Кировск г. Кировск, на г. СПб;1403050;АСОД АФАП;;2980;0,1%
;;Направление не указано;2980;100,0%
86;ЛО, 54 км 365 м КАД А-118, от Ропшинского ш. к Красносельскому ш., 2-я правая полоса;1312012;АСОД АФАП;;94;0,0%
;;Направление не указано;94;100,0%
87;ЛО, 54 км 365 м КАД А-118, от Ропшинского ш. к Красносельскому ш., крайняя левая полоса;1311099;АСОД АФАП;;1377;0,0%
;;Направление не указано;1377;100,0%
88;ЛО, 56 км 051 м КАД А-118, от Октябрьской наб. к пр. Обуховской обороны, крайняя правая полоса;1308037;АСОД АФАП;;257;0,0%
;;Направление не указано;257;100,0%
89;ЛО, 59 км АД СПб-Кировск г. Кировск, на г. СПб;1312040;АСОД АФАП;;7223;0,2%
;;Направление не указано;7223;100,0%
90;ЛО, 595 км 300 м АД М-10 Россия нп Бабино 2, на г. Москва, крайняя правая полоса;1310112;АСОД АФАП;;446;0,0%
;;Направление не указано;446;100,0%
91;ЛО, 595 км 300 м АД М-10 Россия нп Бабино 2, на г. СПб, крайняя левая полоса;1310115;АСОД АФАП;;18;0,0%
;;Направление не указано;18;100,0%
92;ЛО, 61 км 908 м АД А-180 Нарва нп Сельцо, на г. Нарва;1312029;АСОД АФАП;;3235;0,1%
;;Направление не указано;3235;100,0%
93;ЛО, 61 км 908 м АД А-180 Нарва нп Сельцо, на г. СПб;1312030;АСОД АФАП;;2891;0,1%
;;Направление не указано;2891;100,0%
94;ЛО, 667 км 080 м АД М-10 Россия, на г. Москва, 2-я правая полоса;1311119;АСОД АФАП;;2623;0,1%
;;Направление не указано;2623;100,0%
95;ЛО, 667 км 080 м АД М-10 Россия, на г. СПб, крайняя левая полоса;1311091;АСОД АФАП;;73;0,0%
;;Направление не указано;73;100,0%
96;ЛО, 667 км 110 м АД М-10 Россия, на г. Москва, крайняя левая полоса;1311092;АСОД АФАП;;333;0,0%
;;Направление не указано;333;100,0%
97;ЛО, 670 км 369 м АД М-10 Россия на г. Москва, 2-я правая полоса;1310109;АСОД АФАП;;112;0,0%
;;Направление не указано;112;100,0%
98;ЛО, 670 км 369 м АД М-10 Россия на г. Москва, крайняя правая полоса;1310108;АСОД АФАП;;4;0,0%
;;Направление не указано;4;100,0%
99;ЛО, 86 км 609 м КАД А-118, от Красносельского ш. к Ропшинскому ш., 2-я правая полоса;1311096;АСОД АФАП;;8;0,0%
;;Направление не указано;8;100,0%
100;ЛО, 86 км 609 м КАД А-118, от Красносельского ш. к Ропшинскому ш., крайняя правая полоса;1311095;АСОД АФАП;;2589;0,1%
;;Направление не указано;2589;100,0%
101;ЛО, 88 км 110 м КАД А-118, от Октябрьской наб. к Мурманскому ш., 2-я правая полоса;1312013;АСОД АФАП;;172;0,0%
;;Направление не указано;172;100,0%
102;ЛО, 88 км 110 м КАД А-118, от Октябрьской наб. к Мурманскому ш., крайняя правая полоса;1312014;АСОД АФАП;;71;0,0%
;;Направление не указано;71;100,0%
103;ЛО, 89 км. 023 м. КАД А-118, от Октябрьской наб. к Мурманскому шоссе;1306060;АСОД АФАП;;7294;0,2%
;;Направление не указано;7294;100,0%
104;ЛО, 9 км 300 м АД СПб-Матокса нп Кузьмоловский, на г. СПб;1312025;АСОД АФАП;;5211;0,2%
;;Направление не указано;5211;100,0%
105;ЛО, 9 км 300 м АД СПб-Матокса нп Кузьмоловский, на нп Матокса;1312026;АСОД АФАП;;5008;0,2%
;;Направление не указано;5008;100,0%
