#;рубеж;с-н/направление/интервал;система/кол-во (интервал);% (интервал);кол-во (рубеж);% (рубеж)
;;;;;;; 06.01.2021 00:00 - 06.01.2021 23:59 *
1;[DEL20190516]г. СПб, пр. Медиков, д.10, к.1 лит. А, к ул. Профессора Попова;F308;;;2923;0,1%
;;Направление не указано;1556;100,0%
88;ЛО, 595 км 300 м АД М-10 Россия нп Бабино 2, на г. Москва, крайняя правая полоса;1310112;АСОД АФАП;;368;0,0%
;;Направление не указано;368;100,0%
89;ЛО, 595 км 300 м АД М-10 Россия нп Бабино 2, на г. СПб, крайняя левая полоса;1310115;АСОД АФАП;;18;0,0%
;;Направление не указано;18;100,0%
90;ЛО, 61 км 908 м АД А-180 Нарва нп Сельцо, на г. Нарва;1312029;АСОД АФАП;;3591;0,1%
;;Направление не указано;3591;100,0%
91;ЛО, 61 км 908 м АД А-180 Нарва нп Сельцо, на г. СПб;1312030;АСОД АФАП;;3452;0,1%
;;Направление не указано;3452;100,0%
92;ЛО, 667 км 080 м АД М-10 Россия, на г. Москва, 2-я правая полоса;1311119;АСОД АФАП;;4482;0,1%
;;Направление не указано;4482;100,0%
93;ЛО, 667 км 080 м АД М-10 Россия, на г. СПб, крайняя левая полоса;1311091;АСОД АФАП;;65;0,0%
;;Направление не указано;65;100,0%
94;ЛО, 667 км 110 м АД М-10 Россия, на г. Москва, крайняя левая полоса;1311092;АСОД АФАП;;428;0,0%
;;Направление не указано;428;100,0%
95;ЛО, 670 км 369 м АД М-10 Россия на г. Москва, 2-я правая полоса;1310109;АСОД АФАП;;122;0,0%
;;Направление не указано;122;100,0%
96;ЛО, 670 км 369 м АД М-10 Россия на г. Москва, крайняя правая полоса;1310108;АСОД АФАП;;18;0,0%
;;Направление не указано;18;100,0%
97;ЛО, 86 км 609 м КАД А-118, от Красносельского ш. к Ропшинскому ш., 2-я правая полоса;1311096;АСОД АФАП;;13;0,0%
;;Направление не указано;13;100,0%
98;ЛО, 86 км 609 м КАД А-118, от Красносельского ш. к Ропшинскому ш., крайняя правая полоса;1311095;АСОД АФАП;;1970;0,1%
;;Направление не указано;1970;100,0%
99;ЛО, 88 км 110 м КАД А-118, от Октябрьской наб. к Мурманскому ш., 2-я правая полоса;1312013;АСОД АФАП;;953;0,0%
;;Направление не указано;953;100,0%
100;ЛО, 88 км 110 м КАД А-118, от Октябрьской наб. к Мурманскому ш., крайняя правая полоса;1312014;АСОД АФАП;;56;0,0%
;;Направление не указано;56;100,0%
101;ЛО, 89 км. 023 м. КАД А-118, от Октябрьской наб. к Мурманскому шоссе;1306060;АСОД АФАП;;12561;0,3%
;;Направление не указано;12561;100,0%
102;ЛО, 92 км 170 м КАД А-118, от Красносельского ш. к Ропшинскому ш;1308045;АСОД АФАП;;330;0,0%
;;Направление не указано;330;100,0%
103;ЛО, 92 км 170 м КАД А-118, от Красносельского ш. к Ропшинскому ш., 2-я правая полоса;1308043;АСОД АФАП;;800;0,0%
;;Направление не указано;800;100,0%
104;ЛО, 92 км 170 м КАД А-118, от Красносельского ш. к Ропшинскому ш., крайняя правая полоса;1308048;АСОД АФАП;;1886;0,0%
;;Направление не указано;1886;100,0%
105;ЛО, 94 км 850 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., 2-я правая полоса;1311113;АСОД АФАП;;4754;0,1%
;;Направление не указано;4754;100,0%
106;ЛО, 94 км 850 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя левая полоса;1312020;АСОД АФАП;;3;0,0%
;;Направление не указано;3;100,0%
107;ЛО, 94 км 850 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя правая полоса;1311114;АСОД АФАП;;1448;0,0%
;;Направление не указано;1448;100,0%
108;ЛО, 96 км 700 м КАД А-118, от Колтушского ш. к Рябовскому ш., крайняя правая полоса;1308016;АСОД АФАП;;69;0,0%
;;Направление не указано;69;100,0%
109;ЛО, 97 км 496 м КАД А-118, от Колтушского ш. к Рябовскому шоссе;1306043;АСОД АФАП;;173;0,0%
;;Направление не указано;173;100,0%
110;ЛО, 98 км 809 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., 2-я правая полоса;1311125;АСОД АФАП;;4073;0,1%
;;Направление не указано;4073;100,0%
111;ЛО, 98 км 809 м КАД А-118, от Ропшинского ш. к Гостилицкому ш., крайняя левая полоса;1311126;АСОД АФАП;;720;0,0%
;;Направление не указано;720;100,0%
112;ЛО, АД Подъезды и проезд по г. Тосно 7 км 328 м на г. Москва, крайняя правая полоса;1310104;АСОД АФАП;;1;0,0%
;;Направление не указано;1;100,0%
113;ЛО, а/д А-181 Скандинавия 50 км 946 м.;MB0197;АСОД АФАП;;9121;0,2%
;;Направление не указано;9121;100,0%
114;ЛО, а/д А-181 Скандинавия 51 км 487 м.;MB0193;АСОД АФАП;;9789;0,3%
;;Направление не указано;9789;100,0%
115;ЛО, а/д А-181 Скандинавия 63 км 341 м.;MB0194;АСОД АФАП;;9608;0,3%
;;Направление не указано;9608;100,0%
116;ЛО, а/д А-181 Скандинавия 64 км 437 м.;MB0195;АСОД АФАП;;7662;0,2%
;;Направление не указано;7662;100,0%
117;ЛО, а/д Новгород-Луга 73 км 570 м, на г. Новгород;1403004;АСОД АФАП;;662;0,0%
;;Направление не указано;662;100,0%
118;ЛО, а/д Новгород-Луга 81 км 900 м, на г. Лугу;1403041;АСОД АФАП;;489;0,0%
;;Направление не указано;489;100,0%
119;ЛО, а\д новгород-Луга 84 км нп Заклинье, на г. Луга;1412034;АСОД АФАП;;1564;0,0%
;;Направление не указано;1564;100,0%
120;ЛО, г. Гатчина, Красноармейский пр., д.28, от ул. Северная;1306062;АСОД АФАП;;6254;0,2%
;;Направление не указано;6254;100,0%
121;Ленинградская область, Приозерский район,  A-121 133+529;MD1007;АСОД АФАП;;3289;0,1%
;;Направление не указано;3289;100,0%
122;Ленинградская область, Приозерский район,  A-121 137+300;MD1011;АСОД АФАП;;3641;0,1%
;;Направление не указано;3641;100,0%
123;Лисий Нос, Приморское ш. д.60, уч. Приморского ш. от Боровой ул. к Лисьеносовскому путепроводу, зона контроля 1;KPA-0084-01;КПА;;5150;0,1%
;;Направление не указано;2;0,0%
;;Встречное направление;5148;100,0%
124;Лисий Нос, Приморское ш. д.60, уч. Приморского ш. от Боровой ул. к Лисьеносовскому путепроводу, зона контроля 2;KPA-0084-03;КПА;;14599;0,4%
;;Направление не указано;4;0,0%
;;Встречное направление;14595;100,0%
125;Лисий Нос, Приморское ш. д.60, уч. Приморского ш. от Лисьеносовского путепровода к Авиационной ул., зона контроля 1,2;KPA-0084-02;КПА;;11355;0,3%
;;Направление не указано;4;0,0%
;;Встречное направление;11351;100,0%
126;Ломоносов, Дворцовый просп. д.50, уч. Дворцового просп. от Пароходной ул. к Оранжерейной ул., зона контроля 1;KPA-0081-01;КПА;;6908;0,2%
;;Направление не указано;3;0,0%
;;Встречное направление;3743;54,2%
;;Попутное направление;3162;45,8%
127;Ломоносов, Дворцовый просп. д.9 (перекресток Дворцового просп. и ул. Красного Флота), уч. Дворцового просп. от Кронштадтской ул. к ул. Красного Флота, зона контроля 1,2;KPA-0088-02;КПА;;2357;0,1%
;;Встречное направление;2357;100,0%
128;Ломоносов, Дворцовый просп. д.9 (перекресток Дворцового просп. и ул. Красного Флота), уч. Дворцового просп. от Морской ул. к ул. Красного Флота, зона контроля 1,2;KPA-0088-01;КПА;;3237;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;3235;99,9%
129;Ломоносов, Дворцовый просп. д.9 (перекресток Дворцового просп. и ул. Красного Флота), уч. ул. Красного Флота от Дворцового просп. к Богумиловской ул., зона контроля 1;KPA-0088-03;КПА;;1409;0,0%
;;Направление не указано;4;0,3%
;;Встречное направление;1404;99,6%
;;Попутное направление;1;0,1%
130;Ломоносов, Евгения Ефета ул. (~70 м от ж/д. перекресток ул. Евгения Ефета и Краснофлотского ш.), уч. Краснофлотского ш. от ул. Евгения Ефета к ул. Черникова, зона контроля 1;KPA-0092-02;КПА;;2577;0,1%
;;Направление не указано;1;0,0%
;;Встречное направление;2571;99,8%
;;Попутное направление;5;0,2%
131;Ломоносов, Евгения Ефета ул. (~70 м от ж/д. перекресток ул. Евгения Ефета и Краснофлотского ш.), уч. Краснофлотского ш. от ул. Черникова к ул. Евгения Ефета, зона контроля 1;KPA-0092-01;КПА;;3152;0,1%
;;Встречное направление;3149;99,9%
;;Попутное направление;3;0,1%
132;Ломоносов, Иликовский просп. д.30 к.2, уч. Сойкинской дороги от Новой дороги к Швейцарской ул., зона контроля 1;KPA-0079-01;КПА;;3385;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;1815;53,6%
;;Попутное направление;1568;46,3%
133;Ломоносов, Иликовский просп. д.30 к.2, уч. Швейцарской ул. от ул. Дегтярёва к Иликовскому просп., зона контроля 1;KPA-0079-02;КПА;;2779;0,1%
;;Встречное направление;1223;44,0%
;;Попутное направление;1556;56,0%
134;Ломоносов, Новогорская ул. д.2, уч. ул. Жоры Антоненко от Новогорской ул. к ул. Некрасова, зона контроля 1;KPA-0087-01;КПА;;2399;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;2279;95,0%
;;Попутное направление;118;4,9%
135;Ломоносов, Новогорская ул. д.2, уч. ул. Жоры Антоненко от ул. Некрасова к Новогорской ул., зона контроля 1,2;KPA-0087-02;КПА;;4489;0,1%
;;Направление не указано;2;0,0%
;;Встречное направление;2463;54,9%
;;Попутное направление;2024;45,1%
136;Ломоносов, Ораниенбаумский просп. д.49 к.1 (пересечение Ораниенбаумского просп. и Полигонного переулка), уч. Ораниенбаумского просп. от Полигонного пер. к Студенецкий пер., зона контроля 1,2;KPA-0091-02;КПА;;2686;0,1%
;;Встречное направление;2686;100,0%
137;Ломоносов, Ораниенбаумский просп. д.49 к.1 (пересечение Ораниенбаумского просп. и Полигонного переулка), уч. Полигонного пер. от ул. Победы к Ораниенбаумский просп., зона контроля 1,2;KPA-0091-01;КПА;;1993;0,1%
;;Направление не указано;2;0,1%
;;Встречное направление;1484;74,5%
;;Попутное направление;507;25,4%
